Champions,Rarity,Value,Clan Points,Obtainment
Pride,Sovereign,1100,3,Gacha
Liberator,Sovereign,1300,3,World Boss
Naruto (beast mode),Sovereign,1500,3,Tower
Rengoku,Exclusive,650,2,Daily Spin
Thor,Exclusive,500,2,7th Day
Spangled Hero,Exclusive,900,2,Playtime Rewards
Silver Elf,Exclusive,1005,2,Inacessible
Buddha,Exclusive,1005,2,Inacessible
Egoist,Exclusive,965,1,Inacessible
Kenpachi,Secret,800,2,W1 Gacha
Vampire,Secret,800,2,W1 Gacha
Mada (reincarnated),Secret,925,3,Raid
Rogue Ninja,Secret,800,2,W1 Gacha
Vasto Lorde,Secret,945,3,Dungeon
Manipulator,Secret,820,3,W1 Gacha
King Ant,Secret,950,2,Dungeon
Curse King,Secret,920,3,Raid
Shadow Monarch,Secret,820,3,W1 Gacha
Jogu,Secret,800,2,W1 Gacha
Boron,Secret,820,3,W1 Gacha
Ice Queen,Mythic,550,2,W1 Gacha
Rock King,Mythic,550,2,W1 Gacha
Alquior,Mythic,600,2,Dungeon
Igros,Mythic,690,3,Mini Boss
Puya,Mythic,600,2,Mini Boss
Curse Hunter,Mythic,600,3,Mini Boss
Bladedancer,Mythic,550,2,W1 Gacha
White Tiger,Mythic,550,2,W1 Gacha
Brokai,Mythic,550,2,W1 Gacha
Crimson Hair,Mythic,565,3,W1 Gacha
Mada,Mythic,565,3,W1 Gacha
Quake,Mythic,565,3,W1 Gacha
Hawkeye,Legendary,300,,W1 Gacha
Helios,Legendary,325,,W2 Gacha
Diro,Legendary,300,,W1 Gacha
Flamenco,Legendary,300,,W1 Gacha
Hurt,Legendary,350,,World Boss
Lykon,Legendary,300,,W1 Gacha
Puu,Legendary,300,,W1 Gacha
Sparrow,Legendary,300,,W1 Gacha
Son SSJ1,Legendary,325,,W2 Gacha
Wagura,Legendary,325,,W2 Gacha
Special Grade,Legendary,350,,Mini Boss
Kuya,Legendary,300,,W1 Gacha
Goora,Epic,125,,W2 Gacha
Natou,Epic,125,,W2 Gacha
Two Zero,Epic,125,,W2 Gacha
Alligator,Epic,100,,W1 Gacha
Club,Epic,100,,W1 Gacha
Giaro,Epic,100,,W1 Gacha
Hiroka,Epic,100,,W1 Gacha
Kakosh,Epic,100,,W1 Gacha
Specimen,Epic,100,,W1 Gacha
Vigo,Epic,100,,W1 Gacha
Best for Each Stat,/,,Last Updated,
1st,/,,8/15/2026,
2nd,/,,,
3rd,/,,,
