Champions,Rarity,Strength,Durability,Chakra,Sword,Speed,Agility,Clan Points
Pride,Sovereign,100%,100%,0%,100%,0%,0%,3
Liberator,Sovereign,110%,110%,0%,90%,0%,60%,3
Naruto (beast mode),Sovereign,95%,95%,120%,0%,85%,0%,3
Rengoku,Exclusive,0%,85%,0%,95%,70%,70%,2
Thor,Exclusive,85%,80%,0%,0%,70%,70%,2
Spangled Hero,Exclusive,90%,85%,0%,0%,80%,0%,2
Silver Elf,Exclusive,0%,80%,95%,0%,85%,0%,2
Buddha,Exclusive,85%,0%,85%,0%,0%,0%,2
Egoist,Exclusive,0%,75%,0%,0%,110%,110%,1
Kenpachi,Secret,100%,0%,0%,85%,0%,0%,2
Vampire,Secret,100%,100%,0%,0%,95%,95%,2
Mada (reincarnated),Secret,80%,90%,90%,0%,0%,0%,3
Rogue Ninja,Secret,0%,0%,85%,85%,0%,100%,2
Vasto Lorde,Secret,90%,75%,90%,0%,0%,75%,3
Manipulator,Secret,0%,75%,80%,80%,65%,0%,3
King Ant,Secret,90%,80%,0%,0%,0%,90%,2
Curse King,Secret,90%,75%,0%,80%,0%,0%,3
Shadow Monarch,Secret,85%,0%,75%,85%,45%,0%,3
Jogu,Secret,0%,80%,85%,0%,100%,100%,2
Boron,Secret,80%,80%,80%,0%,0%,0%,3
Ice Queen,Mythic,0%,0%,85%,70%,0%,0%,2
Rock King,Mythic,0%,80%,75%,0%,0%,0%,2
Alquior,Mythic,0%,74%,79%,0%,59%,69%,2
Igros,Mythic,59%,59%,0%,74%,0%,0%,3
Puya,Mythic,0%,0%,74%,79%,0%,0%,2
Curse Hunter,Mythic,69%,59%,0%,59%,0%,0%,3
Bladedancer,Mythic,0%,0%,59%,69%,89%,0%,2
White Tiger,Mythic,74%,69%,0%,0%,54%,49%,2
Brokai,Mythic,74%,74%,0%,0%,0%,0%,2
Crimson Hair,Mythic,49%,0%,49%,49%,0%,0%,3
Mada,Mythic,49%,49%,74%,0%,0%,0%,3
Quake,Mythic,74%,59%,0%,49%,0%,0%,3
Hawkeye,Legendary,,,,,,,
Helios,Legendary,,,,,,,
Diro,Legendary,,,,,,,
Flamenco,Legendary,,,,,,,
Hurt,Legendary,,,,,,,
Lykon,Legendary,,,,,,,
Puu,Legendary,,,,,,,
Sparrow,Legendary,,,,,,,
Son SSJ1,Legendary,,,,,,,
Wagura,Legendary,,,,,,,
Special Grade,Legendary,,,,,,,
Kuya,Legendary,,,,,,,
Goora,Epic,,,,,,,
Natou,Epic,,,,,,,
Two Zero,Epic,,,,,,,
Alligator,Epic,,,,,,,
Club,Epic,,,,,,,
Giaro,Epic,,,,,,,
Hiroka,Epic,,,,,,,
Kakosh,Epic,,,,,,,
Specimen,Epic,,,,,,,
Vigo,Epic,,,,,,,
Best for Each Stat,/,Strength,Durability,Chakra,Sword,Speed,Agility,Last Updated
1st,/,Liberator,Liberator,Naruto,Pride,Egoist,Egoist,8/9/2026
2nd,/,Pride,Pride,Silver Elf,Rengoku,Jogu,Rogue Ninja,
3rd,/,Kenpachi,Vampire,Mada,Liberator,Vampire,Jogu,
