Trait,Rarity,Chakra Bonus,Strength Bonus,Training Speed Boost,Stats Gain Boost,Sword Bonus,Loot Chance Bonus,Cooldown Reduction,Chikara Bonus,Yen Bonus,Speed Bonus,Defense Bonus,All Damage Bonus,Notes
Aggresive I,Common,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,
Aggresive II,Uncommon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,
Aggresive III,Rare,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,
Aggresive IV,Epic,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,
Beserk,Rare,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,Only happens when health <= 50%
Collector I,Legendary,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,
Collector II,Mythic,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,
Cooldown Breaker I,Legendary,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,
Cooldown Breaker II,Mythic,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,
Defense I,Common,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,
Defense II,Uncommon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,
Defense III,Rare,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,
Defense IV,Epic,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15%,0%,
Executioner,Mythic,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,
Greedy I,Epic,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,
Greedy II,Legendary,0%,0%,0%,0%,0%,0%,0%,0%,12%,0%,0%,0%,
Scavenger,Epic,0%,0%,0%,0%,0%,15%,0%,0%,0%,0%,0%,0%,
Specialist I,Mythic,0%,0%,0%,75%,0%,0%,0%,0%,0%,0%,0%,0%,
Specialist II,Sovereign,0%,0%,0%,150%,0%,0%,0%,0%,0%,0%,0%,0%,
Swift I,Common,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,
Swift II,Uncommon,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,
Trainer I,Mythic,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Trainer II,Sovereign,0%,0%,15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
